id,Geographic Area Name,Total population,Median age (years),Sex ratio (males per 100 females),Age dependency ratio,Occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Households below poverty level (12 months),Median household income (2018 inflation adjusted),Households receiving food stamps (12 months),Families,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Some other race alone,Hispanic or Latino,white_pop_%,black_pop_%,native_american_pop_%,asian_pop_%,other_race_%,hispanic_pop_%,%_owner_housing,%_rental_housing
1400000US36001002600,"Census Tract 26, Albany County, New York",4551,36.2,92.4,48.8,1924,653,1271,308,36724.0,170,1166,1086,2766,8,297,210,352,0.23862887277521425,0.6077785102175346,0.0017578554163920018,0.06526038233355307,0.04614370468029005,0.07734563832124808,0.3393970893970894,0.6606029106029107
1400000US36001012700,"Census Tract 127, Albany County, New York",2728,33.6,83.8,50.6,1357,432,925,164,50972.0,29,683,2169,40,4,167,0,119,0.7950879765395894,0.01466275659824047,0.001466275659824047,0.06121700879765396,0.0,0.0436217008797654,0.318349299926308,0.681650700073692
1400000US36001012800,"Census Tract 128, Albany County, New York",3755,31.3,87.3,49.0,1630,436,1194,299,38500.0,235,834,2974,283,13,58,17,362,0.7920106524633822,0.07536617842876166,0.0034620505992010654,0.01544607190412783,0.004527296937416778,0.09640479360852197,0.2674846625766871,0.7325153374233129
1400000US36001012900,"Census Tract 129, Albany County, New York",3315,39.6,105.8,65.3,1662,280,1382,424,36667.0,308,671,2759,203,40,22,0,133,0.8322775263951735,0.061236802413273,0.012066365007541479,0.006636500754147813,0.0,0.04012066365007542,0.1684717208182912,0.8315282791817088
1400000US36001013000,"Census Tract 130, Albany County, New York",6801,50.0,69.0,70.3,2835,1916,919,167,63002.0,55,1552,6311,333,0,19,18,218,0.9279517717982649,0.048963387737097484,0.0,0.0027937068078223793,0.002646669607410675,0.03205410968975151,0.6758377425044092,0.32416225749559086
1400000US36001013100,"Census Tract 131, Albany County, New York",2591,41.2,102.9,51.3,1247,485,762,82,53454.0,64,624,2330,116,0,36,0,208,0.899266692396758,0.04477035893477422,0.0,0.013894249324585103,0.0,0.0802778849864917,0.38893344025661586,0.6110665597433841
1400000US36001013200,"Census Tract 132, Albany County, New York",3163,37.5,72.5,63.9,1518,340,1178,339,30128.0,260,629,2481,231,0,103,11,304,0.7843819159026241,0.07303193171040152,0.0,0.0325640214985773,0.0034777110338286435,0.09611128675308252,0.22397891963109354,0.7760210803689065
1400000US36001013300,"Census Tract 133, Albany County, New York",4626,38.2,92.9,36.7,2132,746,1386,299,50796.0,55,1048,3323,703,0,211,171,379,0.7183311716385646,0.15196714223951577,0.0,0.04561175961954172,0.03696498054474708,0.0819282317336792,0.349906191369606,0.650093808630394
1400000US36001013400,"Census Tract 134, Albany County, New York",2331,41.3,95.7,47.3,1066,460,606,112,47250.0,57,540,2011,152,0,90,22,124,0.8627198627198627,0.06520806520806521,0.0,0.03861003861003861,0.009438009438009438,0.053196053196053195,0.43151969981238275,0.5684803001876173
1400000US36001013503,"Census Tract 135.03, Albany County, New York",5133,38.0,88.7,57.8,2139,1236,903,70,79313.0,33,1350,3879,280,43,725,0,314,0.755698421975453,0.05454899668809663,0.008377167348529125,0.14124293785310735,0.0,0.061172803428794074,0.5778401122019635,0.4221598877980365
1400000US36001013505,"Census Tract 135.05, Albany County, New York",2821,44.0,93.2,66.4,969,813,156,13,77625.0,0,685,2478,43,0,293,0,100,0.8784119106699751,0.015242821694434599,0.0,0.10386387805742645,0.0,0.03544842254519674,0.8390092879256966,0.1609907120743034
1400000US36001013506,"Census Tract 135.06, Albany County, New York",6990,41.1,104.0,54.1,2789,1717,1072,167,70911.0,23,1773,5703,70,0,856,75,541,0.8158798283261802,0.010014306151645207,0.0,0.12246065808297568,0.01072961373390558,0.07739628040057224,0.6156328433130154,0.38436715668698457
1400000US36001013507,"Census Tract 135.07, Albany County, New York",2322,38.0,87.4,63.8,956,612,344,62,83472.0,0,637,1729,101,7,158,82,236,0.7446167097329888,0.043496985357450474,0.0030146425495262705,0.06804478897502153,0.03531438415159346,0.10163652024117141,0.6401673640167364,0.3598326359832636
1400000US36001013508,"Census Tract 135.08, Albany County, New York",6524,44.2,91.3,59.3,2538,2017,521,148,95227.0,37,1894,5480,213,42,720,19,304,0.8399754751686083,0.03264868179031269,0.006437768240343348,0.11036174126302882,0.0029123237277743717,0.04659717964438995,0.7947202521670607,0.2052797478329393
1400000US36001013601,"Census Tract 136.01, Albany County, New York",9269,33.2,103.8,38.1,3329,1719,1610,209,75177.0,76,1729,7310,765,35,798,119,580,0.7886503398424857,0.08253317509979502,0.00377602761894487,0.08609342971194303,0.012838493904412558,0.06257417197108642,0.5163712826674677,0.48362871733253227
1400000US36001013602,"Census Tract 136.02, Albany County, New York",4434,33.9,99.4,53.8,1963,659,1304,202,67917.0,86,1016,2423,656,0,818,32,410,0.5464591790708164,0.14794767704104647,0.0,0.18448353631032927,0.007216959855660803,0.09246729815065403,0.3357106469689251,0.6642893530310748
1400000US36001013703,"Census Tract 137.03, Albany County, New York",2601,40.9,168.4,51.5,586,521,65,28,93796.0,0,455,1790,474,0,267,47,67,0.6881968473663975,0.18223760092272204,0.0,0.10265282583621683,0.018069973087274125,0.02575932333717801,0.8890784982935154,0.11092150170648464
1400000US36001013705,"Census Tract 137.05, Albany County, New York",6674,50.0,84.0,57.7,2725,2047,678,142,83550.0,10,1847,6190,176,11,205,27,37,0.9274797722505245,0.02637099190890021,0.001648186994306263,0.03071621216661672,0.004045549895115373,0.0055439017081210665,0.7511926605504587,0.24880733944954128
1400000US36001013706,"Census Tract 137.06, Albany County, New York",2107,46.8,79.5,80.4,763,702,61,21,118819.0,0,593,1941,4,0,116,0,58,0.9212149976269578,0.0018984337921214998,0.0,0.05505457997152349,0.0,0.027527289985761746,0.9200524246395806,0.0799475753604194
1400000US36001013707,"Census Tract 137.07, Albany County, New York",5907,47.8,86.8,86.8,2390,1863,527,53,83842.0,0,1552,5151,159,0,308,0,155,0.87201625190452,0.02691721686135094,0.0,0.0521415270018622,0.0,0.026240054173015066,0.7794979079497908,0.2205020920502092
1400000US36001013801,"Census Tract 138.01, Albany County, New York",7277,41.7,85.0,57.7,2958,2355,603,187,60546.0,72,1765,5803,804,0,389,35,331,0.7974440016490312,0.11048509000961936,0.0,0.05345609454445513,0.004809674316339151,0.045485777105950254,0.7961460446247465,0.20385395537525355
