"GEO_ID","id"
"NAME","Geographic Area Name"
"H002001","Total"
"H002002","Total!!Urban"
"H002003","Total!!Urban!!Inside urbanized areas"
"H002004","Total!!Urban!!Inside urban clusters"
"H002005","Total!!Rural"
"H002006","Total!!Not defined for this file"
